0,17
1,25
2,41
3,56
4,80
5,106
6,132
7,170
8,213
9,259
10,304
11,362
12,426
13,492
14,565
15,638
16,724
17,813
18,910
19,1018
20,1115
21,1261
22,1383
23,1526
24,1669
25,1775
26,1873
27,2009
28,2126
29,2247
30,2360
31,2460
32,2618
33,2699
34,2763
35,2800
36,2858
37,2923
38,2977
39,3050
40,3117
41,3202
42,3285
43,3387
44,3493
45,3598
46,3826
47,4023
48,4297
49,4627
50,4980
51,5427
52,5841
53,6532
54,7180
55,8000
56,8983
57,10077
58,11457
59,13101
60,14739
61,16671
62,19157
63,21747
64,24693
65,28163
66,31835
67,35179
68,39341
69,44053
70,49246
71,55519
72,61484
73,67553
74,72560
75,78171
76,86068
77,92808
78,100479
79,107835
80,114048
81,119617
82,125261
83,132676
84,140873
85,147878
86,156313
87,162992
88,167890
89,173382
90,180676
91,187379
92,194091
93,200513
94,206622
95,210381
96,214894
97,221589
98,228186
99,233986
100,239612
101,244836
102,248317
103,252417
104,258205
105,265019
106,270612
107,276164
108,280419
109,283928
110,287380
111,292946
112,298312
113,303670
114,308751
115,313113
116,316731
117,320177
118,324771
119,329458
120,334388
121,339646
122,343829
123,346976
124,348156
125,352207
126,357514
127,362164
128,367087
129,371184
130,374374
131,377428
132,382099
133,387028
134,392539
135,397445
136,401698
137,405083
138,408240
139,412972
140,418135
141,423086
142,427689
143,431918
