0,580
1,845
2,1317
3,2015
4,2800
5,4581
6,6058
7,7813
8,9823
9,11950
10,14553
11,17391
12,20630
13,24545
14,28266
15,31439
16,34876
17,37552
18,40553
19,43099
20,45134
21,59287
22,64438
23,67100
24,69197
25,71329
26,73332
27,75184
28,75700
29,76677
30,77673
31,78651
32,79205
33,80087
34,80828
35,81820
36,83108
37,84615
38,86605
39,88585
40,90447
41,93018
42,95324
43,98418
44,102059
45,106117
46,110013
47,114448
48,119019
49,126335
50,134594
51,145527
52,156512
53,169543
54,182470
55,198246
56,218983
57,245162
58,275874
59,305366
60,337843
61,379469
62,423363
63,472100
64,533205
65,598060
66,664940
67,725584
68,790012
69,864229
70,941687
71,1022140
72,1106573
73,1188365
74,1259285
75,1332572
76,1411180
77,1496019
78,1581505
79,1673711
80,1753367
81,1825079
82,1895521
83,1968891
84,2051944
85,2132952
86,2218208
87,2298862
88,2374486
89,2448176
90,2523812
91,2604070
92,2689021
93,2791121
94,2881533
95,2955078
96,3024621
97,3100170
98,3180137
99,3266132
100,3361305
101,3444192
102,3526536
103,3606039
104,3687506
105,3783479
106,3879928
107,3976563
108,4065924
109,4145975
110,4220794
111,4306378
112,4395823
113,4492780
114,4593072
115,4689879
116,4772122
117,4862217
118,4957412
119,5060164
120,5167906
121,5275936
122,5375871
123,5472605
124,5562645
125,5655465
126,5762281
127,5879114
128,6005239
129,6129572
130,6238550
131,6343126
132,6458831
133,6579321
134,6709825
135,6840448
136,6969186
137,7082737
138,7190456
139,7311574
140,7447212
141,7585120
142,7727093
143,7859879
